ALPHA	IP4_FRACTION		IP6_FRACTION		IP4_CLOCKCYLES		IP6_CLOCKCYCLES		IP4_CPP			IP6_CPP			INRATE		OUTRATE
0.90	0.723469683454329	0.276530316545671	8167206524.81608	6508313807.18392	250.775660017848	522.826889196162	8.8859e6	4.4090e6
0.91	0.72251019361716	0.27748980638284	8161636957.39316	6553382282.60684	248.38089377803		519.282109410141	8.7621e6	4.4544e6
0.92	0.727213420778668	0.272786579221332	7958109549.27773	6352521994.71227	242.076964670352	515.143963260431	8.5838e6	4.4282e6
0.93	0.725796775324966	0.274203224675034	8259078953.13664	6516858206.86336	249.526592943074	521.153870078588	8.7088e6	4.4582e6
0.94	0.720808249359046	0.279191750640954	8145181206.88834	6761315681.11166	236.966615707274	507.849226455153	8.4959e6	4.6715e6
0.95	0.713745012113049	0.286254987886951	8011854809.64306	7067787362.35694	225.263399728939	495.485628546561	8.0626e6	4.8811e6
0.96	0.708067580518113	0.291932419481887	7935683254.79542	7438378341.20459	213.446368351144	485.26066926846		7.6812e6	5.1443e6
0.97	0.70199139411509	0.298008605884909	7782827049.67699	7896154178.32301	197.870533447651	472.892413586109	7.3737e6	5.4776e6
0.98	0.696664895685806	0.303335104314194	15162175871.1704	10738276228.8296	373.568266607924	607.637086956446	6.9536e6	5.7006e6
0.99	0.725651933102798	0.274348066897202	15752028265.5612	10407631142.4388	345.20922070673		603.287391851704	6.7662e6	6.1541e6
1.00	0.750643463641803	0.249356536358197	16339494547.4643	10029367936.5257	327.267524811048	604.715093501939	6.5172e6	6.5158e6
1.01	0.75064216414427	0.24935783585573	16242992785.6219	10138319922.3581	308.888521423642	580.378940474799	6.8539e6	6.8539e6

